Date	Open	High	Low	Close	Volume	Stock Splits
23-05-2002	0.115643002	0.124286003	0.114570998	0.119643003	1047900000	0
24-05-2002	0.121428996	0.122500002	0.119713999	0.120999999	111048000	0
28-05-2002	0.121357001	0.123213999	0.115713999	0.115713999	66094000	0
29-05-2002	0.116429001	0.116429001	0.108571	0.110357001	67578000	0
30-05-2002	0.110785998	0.110785998	0.107143	0.107143	101542000	0
31-05-2002	0.107856996	0.107856996	0.107143	0.107643001	84644000	0
03-06-2002	0.108000003	0.114928998	0.107643001	0.112856999	31514000	0
04-06-2002	0.113571003	0.114	0.111070998	0.111786	31052000	0
05-06-2002	0.111070998	0.115929	0.110714003	0.114713997	15316000	0
06-06-2002	0.115000002	0.123213999	0.114857003	0.118213996	23058000	0
07-06-2002	0.117785998	0.117785998	0.110357001	0.111856997	13692000	0
10-06-2002	0.113499999	0.1175	0.113429002	0.115643002	4844000	0
11-06-2002	0.115643002	0.118856996	0.112856999	0.115356997	10038000	0
12-06-2002	0.115356997	0.118213996	0.108929001	0.109286003	17990000	0
13-06-2002	0.110428996	0.112213999	0.108000003	0.108286001	25676000	0
14-06-2002	0.108213998	0.108571	0.097999997	0.098642997	47838000	0
17-06-2002	0.101356998	0.105929002	0.091785997	0.092214003	48552000	0
18-06-2002	0.093856998	0.093929	0.084214002	0.091071002	108080000	0
19-06-2002	0.091142997	0.099642999	0.089286	0.095142998	54824000	0
20-06-2002	0.097143002	0.104000002	0.094999999	0.095714003	61110000	0
21-06-2002	0.098214	0.098929003	0.094786003	0.097929001	23464000	0
24-06-2002	0.097929001	0.101429	0.095714003	0.097856998	25676000	0
25-06-2002	0.098857	0.100713998	0.094714001	0.096428998	39410000	0
26-06-2002	0.096357003	0.099642999	0.092142999	0.098857	29246000	0
27-06-2002	0.100928999	0.101856999	0.094286002	0.094356999	38178000	0
28-06-2002	0.096070997	0.101356998	0.096070997	0.099928997	92344000	0
01-07-2002	0.100000001	0.104643002	0.099285997	0.102785997	45850000	0
02-07-2002	0.105356999	0.119499996	0.103928998	0.117285997	90202000	0
03-07-2002	0.117857002	0.121428996	0.111786	0.121428996	49574000	0
05-07-2002	0.121428996	0.129929006	0.121357001	0.127643004	20034000	0
