,Strategy,Kelly,BuyAndHold
0,0.9895132254015793,0.9989505776897418,0.9905132254015793
1,0.9885237121761777,0.9979516271120521,0.9834805154571544
2,0.9684215088483926,0.9964311459323335,0.9644643489766767
3,0.9674530873395443,0.9954347147864012,0.9557709409664477
4,0.9768237174355472,0.9956396338544575,0.9659841901887996
5,0.9721838222581426,0.9955247892388757,0.9613957825718419
6,0.9712116384358844,0.9945292644496367,0.9441954094001418
7,0.9712116384358844,0.9945292644496367,0.9343774715793056
8,0.9761578909484327,0.9938116730653702,0.9400705100198894
9,1.0014397370414116,0.9950869086664834,0.964417716728201
10,1.0078527815073075,0.9964566783515688,0.9705936786681053
11,1.0068449287258001,0.9954602216732172,0.9560704544643632
12,1.0190198109571336,0.9949050242232061,0.9685874364910713
13,1.0363204150157708,0.9970214215446139,0.9850318152506589
14,1.0335338483022605,0.9968434964927382,0.9823831586881185
15,1.0325003144539582,0.9958466529962454,0.9981752139760156
16,1.064167067436251,1.0019751374565904,1.029787392393218
17,1.0834919789455422,1.003610877930645,1.0484879807128005
18,1.1137733444474285,1.0067034953406273,1.0777910566794522
19,1.1459572716170658,1.0117121321348392,1.1089352289162795
20,1.1599373487525677,1.0132439282350452,1.1224636565658102
21,1.1494484007144978,1.0129762421987076,1.112313571321118
22,1.1482989523137834,1.011963265956509,1.1123970025556245
23,1.1596943029653302,1.0121481128907233,1.1245484707706972
24,1.1773003676015068,1.0125891107039855,1.141620963937454
25,1.1816658432327798,1.0131477766990065,1.1458541389498533
26,1.180484177389547,1.0121346289223074,1.122837177464543
27,1.180484177389547,1.0121346289223074,1.1228790544554745
28,1.193871778466136,1.0124824205232767,1.1367362480617351
29,1.2043408481497875,1.0128598901198227,1.1467042958936227
30,1.228189607691935,1.014370104159393,1.1694117171861313
31,1.2333459999945122,1.0149551631002969,1.174321338257078
32,1.2321126539945177,1.0139402079371966,1.1365167422280862
33,1.2321126539945177,1.0139402079371966,1.1141820779379406
34,1.232599874438266,1.0130043981575008,1.115736846584541
35,1.2313672745638278,1.0119913937593432,1.0766436800500394
36,1.2313672745638278,1.0119913937593432,1.0375556367317431
37,1.2313672745638278,1.0119913937593432,1.0411513451216587
38,1.2414926793251744,1.0117587461053608,1.0507537754652916
39,1.249923259545983,1.0120676603568268,1.057889108716868
40,1.2567236043756544,1.012432743502666,1.0636446706490794
41,1.245437780050797,1.0121410329621783,1.0540927637260133
42,1.2441923422707462,1.011128891929216,1.050581144133725
43,1.245125641403208,1.0102634948713614,1.0524197919111984
44,1.2438805157618047,1.00925323137649,1.0386944492500552
45,1.2438805157618047,1.00925323137649,1.0431303232430305
46,1.2768979596825039,1.0119861399385999,1.0718622038226149
47,1.2847960356313042,1.0129265348249596,1.0784920594255984
48,1.283511239595673,1.0119136082901348,1.0683829962886262
